review,sentiment
السيارة ناقص شوية ولكن خدام كاعma,neutre
had pc na9s o zbel,negatif
هاد السلعة زوين كاعma,positif
الكاسك مقبول كيقضي الغرض وصافي,neutre
had lmahal zwin ghir chriwh,positif
had pc d3ifa ndemte 3lih,negatif
service ghali o kaytbloqua,negatif
had lmahal wa3er chwiya bzaf,positif
had l'app ghali bzaf bzaaf jamais de la vie,negatif
livraison mezyan recommande 100%,positif
هاد الماكلة مقبول ماشي شي حاجة كبيرة,neutre
tilifoun pas exceptionnel vraiment,neutre
المحل ماشي خفيف ولكن ما بيهش,neutre
المحل ماشي غزال بزاف ضياع الوقت والفلوس,negatif
الصباط ماشي زوين كيقضي الغرض وصافي,neutre
casque machi chi haja tellement,neutre
t-shirt machi mezyan walakin 3adi machi chi haja,neutre
ndemte 3lih srioual horrible,negatif
هاد المحل كيقضي الغرض,neutre
الصباط متوسط على قد الجيب,neutre
toussil t9ila walakin original,neutre
lkhidma machi ghalia bzaf chira2 mzyan,positif
التوصيل نورمال كيقضي الغرض وصافي,neutre
هاد التطبيق عجباتني بزآف رائع جدا,positif
ecouteurs machi excellent perte d'argent,negatif
lproduit makhedamach khasara dyal lflouss,negatif
livraison 3ayan ga3ma ndemte 3lih,negatif
هاد السلعة ما مزيانش ولكن سريع,neutre
had pc kaytskhn o khaser,negatif
التوصيل ماشي غزال ماتضيعوش فلوسكم فيه,negatif
srioual original walakin t9il,neutre
matkhasrouch flousscom hadchi kaytskhn,negatif
السروال موسخ ولكن واعر,neutre
pantalon degoutant,negatif
هاد الماكلة ما كاينش بحالو ولكن ما مزيانش,neutre
الكاسك على قد الحال ديما,neutre
هاد المحل ماشي عجبني ضياع الوقت والفلوس,negatif
had lmahal machi makaynach bhalha walakin pour le prix m9boul,neutre
هاد المنتج حامضة بزاف,negatif
الصباط ماشي زوين عادي وصافي,neutre
hwayj machi 3jebni ndemte 3lih,negatif
الحوايج خدام مزيان كاعma,positif
tilifoun normal fait le job,neutre
هاد الماكلة واعرة ولكن خاسر,neutre
السروال ماشي زوينة ضياع الوقت والفلوس,negatif
pc t9il jamais de la vie,negatif
المحل خايب ولكن واعر,neutre
dacia makaynach bhalha recommande 100%,positif
service ghalia bzaf walakin zwina,neutre
البيسي بنينة و رائع,positif
هاد السلعة ناقصة ديما,negatif
toussil makanich ndemte 3lih,negatif
nssa7 bih toussil sria3,positif
الطوموبيل متوسط عادي وصافي,neutre
lhwayj fi lmotawassit fait le travail,neutre
ماتضيعوش فلوسكم فيه هاد المحل غالية,negatif
شراء مميز الطوموبيل واعر,positif
هاد التطبيق موسخة ماتضيعوش فلوسكم فيه,negatif
المحل غالي ولكن عجبني,neutre
had tilifoun 3jebni walakin fchel,neutre
خودوه وانتوما هانيين الماكينة عجباتني,positif
lkhidma n9i recommande 100%,positif
السلعة متوسطة ماشي شي حاجة كبيرة,neutre
pantalon ghzal o khfif,positif
هاد التليفون ضعيف و غالي بزاف,negatif
هاد المحل عجباتني و واعرة,positif
lkhidma khaib chwiya,negatif
lproduit top nssa7 bih,positif
الله يعطيك الصحة الطوموبيل غزال,positif
